Price,Beds,Bath,Sq.Ft
175000,1,1,658
989000,4,4,2925
529900,4,1.5,1162
879000,3,2.5,2023
779000,4,3.5,2299
899000,2,2.5,1517
815000,4,2.5,2326
799900,5,3.5,1578
724900,3,2.5,2284
700000,4,2,1062
749500,4,2.5,2141
469000,4,2,960
300000,2,2,939
799000,4,3,2327
515000,4,3.5,1057
650000,3,2.5,1782
500000,2,2.5,1381
420000,2,2,1075
822000,3,2.5,2067
529500,2,2.5,1273
175000,2,1,852
274900,2,1,698
624999,3,2.5,1942
279900,1,1,818
438800,2,2.5,1111
999888,4,3.5,1448
825000,3,3.5,1568
468900,2,1,811
418000,3,2,646
430000,2,2.5,1300
449000,4,2,990
1200000,5,2.5,3240
388900,3,1.5,1161
770000,5,4,1325
749000,3,2.5,2308
219900,1,1,487
449500,3,2,977
649000,4,2.5,1254
799000,4,3.5,2154
389500,1,1,910
199900,1,1,675
620000,4,3.5,1936
618000,3,2.5,1390
619900,3,2.5,1616
895000,3,2.5,1423
725000,4,3.5,1841
999999,4,3.5,1516
575000,4,2.5,1286
274500,2,2,1020
525000,3,2.5,1413
249900,2,2,866
599900,5,4,1555
700000,3,3.5,1807
574800,3,2.5,1708
475000,4,2,836
599999,3,3,1444
275000,1,1,458
688800,4,2.5,1263
724900,4,3.5,2348
2350000,6,3.5,2654
2100000,6,4.5,3190
274900,2,1,904
249900,1,1,651
415000,2,2,820
679000,4,3.5,2067
519900,3,1.5,1020
460000,2,2.5,1233
339900,1,1,577
455400,2,2,913
599000,4,3.5,1190
825000,3,3,1479
475000,2,2,1042
724900,4,2.5,2252
739900,5,2,1004
479900,3,1.5,1078
169900,1,1,452
339900,2,1.5,814
689000,3,3,1043
799900,4,3,1083
329000,2,2,907
600000,4,2.5,1245
829900,4,2.5,2580
485000,3,2.5,1254
669900,4,3.5,1932
975000,4,3.5,2608
1279000,4,3.5,2127
449900,3,2,988
775000,4,3.5,1838
314900,2,1,618
779900,4,2.5,2330
709000,5,2,1187
774900,3,2.5,2294
849000,3,2,856
314900,1,1,645
489000,5,2,939
699000,4,2,1126
1089888,5,3,1531
430000,3,1.5,1216
999000,5,4,2676
545000,3,2.5,1316
799000,3,2.5,2186
349900,3,1.5,1042
989000,5,4,2866
329900,3,1.5,989
279900,2,1,786
547900,3,2.5,1528
249900,1,1,472
284000,2,2,840
424900,2,1.5,1021
